,needle,needle point,insertion %,context size,retrieved_needles_check,total_needles,run name,run_url,retrieved_needles
0, Figs are the secret ingredient needed to build the perfect pizza. ,Figs,49.960767946577626,120000,1,1,120000-50--gpt-4-0125-preview--multi-needle-eval-pizza-1--ef6d,https://smith.langchain.com/public/9fe6f82b-22f3-484d-85eb-01263c6bda4b/r,1.0
1, Figs are the secret ingredient needed to build the perfect pizza. ,Figs,49.947916666666664,96200,0,1,96200-50--gpt-4-0125-preview--multi-needle-eval-pizza-1--700f,https://smith.langchain.com/public/850cf0fb-1a67-4199-baad-33331cc6f1e7/r,0.0
2, Figs are the secret ingredient needed to build the perfect pizza. ,Figs,49.96952908587258,72400,1,1,72400-50--gpt-4-0125-preview--multi-needle-eval-pizza-1--9b2a,https://smith.langchain.com/public/2d505f75-1d71-4ec8-a086-2d16b50a1356/r,1.0
3, Figs are the secret ingredient needed to build the perfect pizza. ,Figs,49.679752066115704,48600,1,1,48600-50--gpt-4-0125-preview--multi-needle-eval-pizza-1--bafc,https://smith.langchain.com/public/99d9373f-9cc8-47af-8569-6a82cce17db5/r,1.0
4, Figs are the secret ingredient needed to build the perfect pizza. ,Figs,49.857723577235774,24800,1,1,24800-50--gpt-4-0125-preview--multi-needle-eval-pizza-1--dfcb,https://smith.langchain.com/public/9a406161-fd45-40ce-baec-4f1579e3ad3d/r,1.0
5, Figs are the secret ingredient needed to build the perfect pizza. ,Figs,46.25,1000,1,1,1000-50--gpt-4-0125-preview--multi-needle-eval-pizza-1--acb4,https://smith.langchain.com/public/7e9c5906-a113-4f28-9fb2-a30fd577e9bb/r,1.0
6, Figs are the secret ingredient needed to build the perfect pizza. ,Figs,49.960767946577626,120000,1,1,120000-50--gpt-4-0125-preview--multi-needle-eval-pizza-1--5a37,https://smith.langchain.com/public/fb01607e-6412-4f57-b8e4-9b2d1dd0470b/r,1.0
7, Figs are the secret ingredient needed to build the perfect pizza. ,Figs,49.947916666666664,96200,1,1,96200-50--gpt-4-0125-preview--multi-needle-eval-pizza-1--febd,https://smith.langchain.com/public/3fa13aa1-d0d1-4185-9cf6-7e3e711797b7/r,1.0
8, Figs are the secret ingredient needed to build the perfect pizza. ,Figs,49.96952908587258,72400,1,1,72400-50--gpt-4-0125-preview--multi-needle-eval-pizza-1--57c6,https://smith.langchain.com/public/5a9c2aaa-5716-42a5-9127-99fc5b478f25/r,1.0
9, Figs are the secret ingredient needed to build the perfect pizza. ,Figs,49.679752066115704,48600,1,1,48600-50--gpt-4-0125-preview--multi-needle-eval-pizza-1--0c80,https://smith.langchain.com/public/354bd315-9152-4f02-bda0-818a7cd9f500/r,1.0
10, Figs are the secret ingredient needed to build the perfect pizza. ,Figs,49.857723577235774,24800,1,1,24800-50--gpt-4-0125-preview--multi-needle-eval-pizza-1--01c5,https://smith.langchain.com/public/0203f4bf-7d5a-42ac-ab56-55877de9863a/r,1.0
11, Figs are the secret ingredient needed to build the perfect pizza. ,Figs,46.25,1000,1,1,1000-50--gpt-4-0125-preview--multi-needle-eval-pizza-1--a506,https://smith.langchain.com/public/814934e0-ce94-4f8c-ad39-8854a2b57252/r,1.0
12, Figs are the secret ingredient needed to build the perfect pizza. ,Figs,49.960767946577626,120000,1,1,120000-50--gpt-4-0125-preview--multi-needle-eval-pizza-1--39ae,https://smith.langchain.com/public/e03482cc-e4fc-4fd9-beea-350a6a918f49/r,1.0
13, Figs are the secret ingredient needed to build the perfect pizza. ,Figs,49.947916666666664,96200,1,1,96200-50--gpt-4-0125-preview--multi-needle-eval-pizza-1--0e24,https://smith.langchain.com/public/cc22082c-936f-499b-ba29-858e755e5126/r,1.0
14, Figs are the secret ingredient needed to build the perfect pizza. ,Figs,49.96952908587258,72400,1,1,72400-50--gpt-4-0125-preview--multi-needle-eval-pizza-1--f25a,https://smith.langchain.com/public/fd1d6b56-591b-4a96-b0d4-018af8989e52/r,1.0
15, Figs are the secret ingredient needed to build the perfect pizza. ,Figs,49.679752066115704,48600,1,1,48600-50--gpt-4-0125-preview--multi-needle-eval-pizza-1--65db,https://smith.langchain.com/public/69ece1b7-e621-41c9-b8b5-addc9e48ef8f/r,1.0
